county,state,cvap_2018,cvap_2020,cvap_2022,cvap_2024
Alameda,CA,1069835,1091231,1112628,1134025
Alpine,CA,895,912,930,948
Amador,CA,31115,31737,32359,32981
Butte,CA,173840,177316,180793,184270
Calaveras,CA,36165,36888,37611,38334
Colusa,CA,12370,12617,12864,13112
Contra Costa,CA,752720,767774,782828,797883
Del Norte,CA,20610,21022,21434,21846
El Dorado,CA,141080,143901,146723,149544
Fresno,CA,581040,592660,604281,615902
Glenn,CA,16890,17227,17565,17903
Humboldt,CA,105400,107508,109616,111724
Imperial,CA,102620,104672,106724,108777
Inyo,CA,13660,13933,14206,14479
Kern,CA,515640,525952,536265,546578
Kings,CA,93040,94900,96761,98622
Lake,CA,47800,48756,49712,50668
Lassen,CA,25145,25647,26150,26653
Los Angeles,CA,6272375,6397822,6523270,6648717
Madera,CA,91295,93120,94946,96772
Marin,CA,184545,188235,191926,195617
Mariposa,CA,14000,14280,14560,14840
Mendocino,CA,61745,62979,64214,65449
Merced,CA,149115,152097,155079,158061
Modoc,CA,6735,6869,7004,7139
Mono,CA,9700,9894,10088,10282
Monterey,CA,230715,235329,239943,244557
Napa,CA,94890,96787,98685,100583
Nevada,CA,78930,80508,82087,83665
Orange,CA,2041825,2082661,2123498,2164334
Placer,CA,280785,286400,292016,297632
Plumas,CA,15240,15544,15849,16154
Riverside,CA,1522140,1552582,1583025,1613468
Sacramento,CA,1027550,1048101,1068652,1089203
San Benito,CA,37200,37944,38688,39432
San Bernardino,CA,1347820,1374776,1401732,1428689
San Diego,CA,2237310,2282056,2326802,2371548
San Francisco,CA,646545,659475,672406,685337
San Joaquin,CA,448975,457954,466934,475913
San Luis Obispo,CA,217015,221355,225695,230035
San Mateo,CA,498140,508102,518065,528028
Santa Barbara,CA,281700,287334,292968,298602
Santa Clara,CA,1170245,1193649,1217054,1240459
Santa Cruz,CA,190835,194651,198468,202285
Shasta,CA,136015,138735,141455,144175
Sierra,CA,2450,2499,2548,2597
Siskiyou,CA,33785,34460,35136,35812
Solano,CA,306065,312186,318307,324428
Sonoma,CA,356020,363140,370260,377381
Stanislaus,CA,335015,341715,348415,355115
Sutter,CA,60875,62092,63310,64527
Tehama,CA,45220,46124,47028,47933
Trinity,CA,10355,10562,10769,10976
Tulare,CA,252875,257932,262990,268047
Tuolumne,CA,44140,45022,45905,46788
Ventura,CA,557875,569032,580190,591347
Yolo,CA,144525,147415,150306,153196
Yuba,CA,50180,51183,52187,53190
Beaver,UT,4140,4222,4305,4388
Box Elder,UT,35040,35740,36441,37142
Cache,UT,79880,81477,83075,84672
Carbon,UT,14575,14866,15158,15449
Daggett,UT,475,484,494,503
Davis,UT,222380,226827,231275,235722
Duchesne,UT,12955,13214,13473,13732
Emery,UT,7000,7140,7280,7420
Garfield,UT,3655,3728,3801,3874
Grand,UT,6965,7104,7243,7382
Iron,UT,33985,34664,35344,36024
Juab,UT,6980,7119,7259,7398
Kane,UT,5620,5732,5844,5957
Millard,UT,8060,8221,8382,8543
Morgan,UT,7230,7374,7519,7663
Piute,UT,1460,1489,1518,1547
Rich,UT,1485,1514,1544,1574
Salt Lake,UT,728695,743268,757842,772416
San Juan,UT,10310,10516,10722,10928
Sanpete,UT,20810,21226,21642,22058
Sevier,UT,14515,14805,15095,15385
Summit,UT,27945,28503,29062,29621
Tooele,UT,41755,42590,43425,44260
Uintah,UT,23630,24102,24575,25047
Utah,UT,363520,370790,378060,385331
Wasatch,UT,19410,19798,20186,20574
Washington,UT,112440,114688,116937,119186
Wayne,UT,1925,1963,2002,2040
Weber,UT,166070,169391,172712,176034
Adams,WA,8960,9139,9318,9497
Asotin,WA,17400,17748,18096,18444
Benton,WA,130805,133421,136037,138653
Chelan,WA,52540,53590,54641,55692
Clallam,WA,59890,61087,62285,63483
Clark,WA,331185,337808,344432,351056
Columbia,WA,3105,3167,3229,3291
Cowlitz,WA,78900,80478,82056,83634
Douglas,WA,26495,27024,27554,28084
Ferry,WA,6145,6267,6390,6513
Franklin,WA,46745,47679,48614,49549
Garfield,WA,1640,1672,1705,1738
Grant,WA,53825,54901,55978,57054
Grays Harbor,WA,55275,56380,57486,58591
Island,WA,64560,65851,67142,68433
Jefferson,WA,26310,26836,27362,27888
King,WA,1488795,1518570,1548346,1578122
Kitsap,WA,202505,206555,210605,214655
Kittitas,WA,35685,36398,37112,37826
Klickitat,WA,16135,16457,16780,17103
Lewis,WA,57985,59144,60304,61464
Lincoln,WA,8105,8267,8429,8591
Mason,WA,48180,49143,50107,51070
Okanogan,WA,28845,29421,29998,30575
Pacific,WA,16850,17187,17524,17861
Pend Oreille,WA,10425,10633,10842,11050
Pierce,WA,621565,633996,646427,658858
San Juan,WA,13700,13974,14248,14522
Skagit,WA,89235,91019,92804,94589
Skamania,WA,9125,9307,9490,9672
Snohomish,WA,553405,564473,575541,586609
Spokane,WA,375630,383142,390655,398167
Stevens,WA,34080,34761,35443,36124
Thurston,WA,206955,211094,215233,219372
Wahkiakum,WA,3425,3493,3562,3630
Walla Walla,WA,43410,44278,45146,46014
Whatcom,WA,163750,167025,170300,173575
Whitman,WA,37735,38489,39244,39999
Yakima,WA,144660,147553,150446,153339
