state,county,cvap_2020,cvap_source
CA,Alameda,,Census 2020 CVAP estimates (to be added)
CA,Alpine,,Census 2020 CVAP estimates (to be added)
CA,Amador,,Census 2020 CVAP estimates (to be added)
CA,Butte,,Census 2020 CVAP estimates (to be added)
CA,Calaveras,,Census 2020 CVAP estimates (to be added)
CA,Colusa,,Census 2020 CVAP estimates (to be added)
CA,Contra Costa,,Census 2020 CVAP estimates (to be added)
CA,Del Norte,,Census 2020 CVAP estimates (to be added)
CA,El Dorado,,Census 2020 CVAP estimates (to be added)
CA,Fresno,,Census 2020 CVAP estimates (to be added)
CA,Glenn,,Census 2020 CVAP estimates (to be added)
CA,Humboldt,,Census 2020 CVAP estimates (to be added)
CA,Imperial,,Census 2020 CVAP estimates (to be added)
CA,Inyo,,Census 2020 CVAP estimates (to be added)
CA,Kern,,Census 2020 CVAP estimates (to be added)
CA,Kings,,Census 2020 CVAP estimates (to be added)
CA,Lake,,Census 2020 CVAP estimates (to be added)
CA,Lassen,,Census 2020 CVAP estimates (to be added)
CA,Los Angeles,,Census 2020 CVAP estimates (to be added)
CA,Madera,,Census 2020 CVAP estimates (to be added)
CA,Marin,,Census 2020 CVAP estimates (to be added)
CA,Mariposa,,Census 2020 CVAP estimates (to be added)
CA,Mendocino,,Census 2020 CVAP estimates (to be added)
CA,Merced,,Census 2020 CVAP estimates (to be added)
CA,Modoc,,Census 2020 CVAP estimates (to be added)
CA,Mono,,Census 2020 CVAP estimates (to be added)
CA,Monterey,,Census 2020 CVAP estimates (to be added)
CA,Napa,,Census 2020 CVAP estimates (to be added)
CA,Nevada,,Census 2020 CVAP estimates (to be added)
CA,Orange,,Census 2020 CVAP estimates (to be added)
CA,Placer,,Census 2020 CVAP estimates (to be added)
CA,Plumas,,Census 2020 CVAP estimates (to be added)
CA,Riverside,,Census 2020 CVAP estimates (to be added)
CA,Sacramento,,Census 2020 CVAP estimates (to be added)
CA,San Benito,,Census 2020 CVAP estimates (to be added)
CA,San Bernardino,,Census 2020 CVAP estimates (to be added)
CA,San Diego,,Census 2020 CVAP estimates (to be added)
CA,San Francisco,,Census 2020 CVAP estimates (to be added)
CA,San Joaquin,,Census 2020 CVAP estimates (to be added)
CA,San Luis Obispo,,Census 2020 CVAP estimates (to be added)
CA,San Mateo,,Census 2020 CVAP estimates (to be added)
CA,Santa Barbara,,Census 2020 CVAP estimates (to be added)
CA,Santa Clara,,Census 2020 CVAP estimates (to be added)
CA,Santa Cruz,,Census 2020 CVAP estimates (to be added)
CA,Shasta,,Census 2020 CVAP estimates (to be added)
CA,Sierra,,Census 2020 CVAP estimates (to be added)
CA,Siskiyou,,Census 2020 CVAP estimates (to be added)
CA,Solano,,Census 2020 CVAP estimates (to be added)
CA,Sonoma,,Census 2020 CVAP estimates (to be added)
CA,Stanislaus,,Census 2020 CVAP estimates (to be added)
CA,Sutter,,Census 2020 CVAP estimates (to be added)
CA,Tehama,,Census 2020 CVAP estimates (to be added)
CA,Trinity,,Census 2020 CVAP estimates (to be added)
CA,Tulare,,Census 2020 CVAP estimates (to be added)
CA,Tuolumne,,Census 2020 CVAP estimates (to be added)
CA,Ventura,,Census 2020 CVAP estimates (to be added)
CA,Yolo,,Census 2020 CVAP estimates (to be added)
CA,Yuba,,Census 2020 CVAP estimates (to be added)
UT,Beaver,,Census 2020 CVAP estimates (to be added)
UT,Box Elder,,Census 2020 CVAP estimates (to be added)
UT,Cache,,Census 2020 CVAP estimates (to be added)
UT,Carbon,,Census 2020 CVAP estimates (to be added)
UT,Daggett,,Census 2020 CVAP estimates (to be added)
UT,Davis,,Census 2020 CVAP estimates (to be added)
UT,Duchesne,,Census 2020 CVAP estimates (to be added)
UT,Emery,,Census 2020 CVAP estimates (to be added)
UT,Garfield,,Census 2020 CVAP estimates (to be added)
UT,Grand,,Census 2020 CVAP estimates (to be added)
UT,Iron,,Census 2020 CVAP estimates (to be added)
UT,Juab,,Census 2020 CVAP estimates (to be added)
UT,Kane,,Census 2020 CVAP estimates (to be added)
UT,Millard,,Census 2020 CVAP estimates (to be added)
UT,Morgan,,Census 2020 CVAP estimates (to be added)
UT,Piute,,Census 2020 CVAP estimates (to be added)
UT,Rich,,Census 2020 CVAP estimates (to be added)
UT,Salt Lake,,Census 2020 CVAP estimates (to be added)
UT,San Juan,,Census 2020 CVAP estimates (to be added)
UT,Sanpete,,Census 2020 CVAP estimates (to be added)
UT,Sevier,,Census 2020 CVAP estimates (to be added)
UT,Summit,,Census 2020 CVAP estimates (to be added)
UT,Tooele,,Census 2020 CVAP estimates (to be added)
UT,Uintah,,Census 2020 CVAP estimates (to be added)
UT,Utah,,Census 2020 CVAP estimates (to be added)
UT,Wasatch,,Census 2020 CVAP estimates (to be added)
UT,Washington,,Census 2020 CVAP estimates (to be added)
UT,Wayne,,Census 2020 CVAP estimates (to be added)
UT,Weber,,Census 2020 CVAP estimates (to be added)
WA,Adams,,Census 2020 CVAP estimates (to be added)
WA,Asotin,,Census 2020 CVAP estimates (to be added)
WA,Benton,,Census 2020 CVAP estimates (to be added)
WA,Chelan,,Census 2020 CVAP estimates (to be added)
WA,Clallam,,Census 2020 CVAP estimates (to be added)
WA,Clark,,Census 2020 CVAP estimates (to be added)
WA,Columbia,,Census 2020 CVAP estimates (to be added)
WA,Cowlitz,,Census 2020 CVAP estimates (to be added)
WA,Douglas,,Census 2020 CVAP estimates (to be added)
WA,Ferry,,Census 2020 CVAP estimates (to be added)
WA,Franklin,,Census 2020 CVAP estimates (to be added)
WA,Garfield,,Census 2020 CVAP estimates (to be added)
WA,Grant,,Census 2020 CVAP estimates (to be added)
WA,Grays Harbor,,Census 2020 CVAP estimates (to be added)
WA,Island,,Census 2020 CVAP estimates (to be added)
WA,Jefferson,,Census 2020 CVAP estimates (to be added)
WA,King,,Census 2020 CVAP estimates (to be added)
WA,Kitsap,,Census 2020 CVAP estimates (to be added)
WA,Kittitas,,Census 2020 CVAP estimates (to be added)
WA,Klickitat,,Census 2020 CVAP estimates (to be added)
WA,Lewis,,Census 2020 CVAP estimates (to be added)
WA,Lincoln,,Census 2020 CVAP estimates (to be added)
WA,Mason,,Census 2020 CVAP estimates (to be added)
WA,Okanogan,,Census 2020 CVAP estimates (to be added)
WA,Pacific,,Census 2020 CVAP estimates (to be added)
WA,Pend Oreille,,Census 2020 CVAP estimates (to be added)
WA,Pierce,,Census 2020 CVAP estimates (to be added)
WA,San Juan,,Census 2020 CVAP estimates (to be added)
WA,Skagit,,Census 2020 CVAP estimates (to be added)
WA,Skamania,,Census 2020 CVAP estimates (to be added)
WA,Snohomish,,Census 2020 CVAP estimates (to be added)
WA,Spokane,,Census 2020 CVAP estimates (to be added)
WA,Stevens,,Census 2020 CVAP estimates (to be added)
WA,Thurston,,Census 2020 CVAP estimates (to be added)
WA,Wahkiakum,,Census 2020 CVAP estimates (to be added)
WA,Walla Walla,,Census 2020 CVAP estimates (to be added)
WA,Whatcom,,Census 2020 CVAP estimates (to be added)
WA,Whitman,,Census 2020 CVAP estimates (to be added)
WA,Yakima,,Census 2020 CVAP estimates (to be added)
