mean,std,count
0.5584278355042139,0.1134491622544307,12
0.45953331887722015,0.10722441771018916,12
0.5385958429645089,0.14176027757043386,17
0.4622272700071335,0.11295547547794901,12
0.5983555702602162,0.13788952581103642,17
0.5122800543904305,0.11167462492232551,12
0.61307893781101,0.12445027769695828,17
0.5020722125967344,0.12157213198702133,12
0.6299961857935962,0.13549945888140422,17
0.5132275249001199,0.15036665635120688,12
0.6415436003575484,0.134566131330254,17
0.508165731094145,0.13459339306449045,10
0.6294188076754393,0.13369032363464292,5
